"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P02" 4019983 "Run1" 1 "0%" "0" 0 2 0 1 0.0312759
"1:2" "P02" 4044719 "Run1" 2 "50%" "0" 0 17 0 1 0.0234062
"1:3" "P02" 4070032 "Run1" 3 "50%" "0" 0 6 0 1 0.0247854
"1:4" "P02" 4093439 "Run1" 4 "25%" "0" 0 9 0 1 0.0263895
"1:5" "P02" 4118743 "Run1" 5 "100%" "3" 1 0 41 1 0.0213749
"1:6" "P02" 4150479 "Run1" 6 "0%" "0" 0 9 0 1 0.0294666
"1:7" "P02" 4175575 "Run1" 7 "75%" "0" 0 36 0 1 0.0254385
"1:8" "P02" 4201623 "Run1" 8 "25%" "0" 0 20 0 1 0.031592
"1:9" "P02" 4225455 "Run1" 9 "50%" "1" 1 0 25 1 0.0312193
"1:10" "P02" 4249447 "Run1" 10 "100%" "1" 1 0 27 1 0.0288256
"1:11" "P02" 4274983 "Run1" 11 "0%" "0" 0 58 0 1 0.032847
"1:12" "P02" 4299839 "Run1" 12 "25%" "0" 0 33 0 1 0.0353171
"1:13" "P02" 4327968 "Run1" 13 "75%" "2" 1 0 38 1 0.0318172
"1:14" "P02" 4352279 "Run1" 14 "100%" "2" 1 0 35 1 0.0315487
"1:15" "P02" 4377055 "Run1" 15 "50%" "0" 0 59 0 1 0.0305526
"1:16" "P02" 4402015 "Run1" 16 "75%" "0" 0 59 0 1 0.0327474
"1:17" "P02" 4422903 "Run1" 17 "75%" "0" 0 57 0 1 0.0377646
"1:18" "P02" 4450543 "Run1" 18 "25%" "3" 1 0 39 1 0.0313702
"1:19" "P02" 4549502 "Run2" 1 "100%" "1" 1 0 16 1 0.0252617
"1:20" "P02" 4574150 "Run2" 2 "50%" "3" 1 0 58 1 0.0225888
"1:21" "P02" 4601382 "Run2" 3 "50%" "0" 0 48 0 1 0.0211568
"1:22" "P02" 4625846 "Run2" 4 "75%" "0" 0 7 0 1 0.0250712
"1:23" "P02" 4650775 "Run2" 5 "25%" "0" 0 8 0 1 0.0251787
"1:24" "P02" 4672887 "Run2" 6 "50%" "0" 0 55 0 1 0.0277992
"1:25" "P02" 4696358 "Run2" 7 "50%" "0" 0 10 0 1 0.0264743
"1:26" "P02" 4719918 "Run2" 8 "100%" "2" 1 0 32 1 0.0217394
"1:27" "P02" 4741518 "Run2" 9 "100%" "3" 1 0 60 1 0.0250081
"1:28" "P02" 4766234 "Run2" 10 "75%" "1" 1 0 12 1 0.0231021
"1:29" "P02" 4788862 "Run2" 11 "25%" "0" 0 36 0 1 0.0212982
"1:30" "P02" 4810430 "Run2" 12 "75%" "0" 0 44 0 1 0.0246285
"1:31" "P02" 4833518 "Run2" 13 "0%" "0" 0 0 0 1 0.0178586
"1:32" "P02" 4857814 "Run2" 14 "0%" "0" 0 2 0 1 0.0208903
"1:33" "P02" 4881174 "Run2" 15 "25%" "2" 1 0 37 1 0.0225459
"1:34" "P02" 4905278 "Run2" 16 "0%" "0" 0 3 0 1 0.0265796
"1:35" "P02" 4926494 "Run2" 17 "75%" "0" 0 58 0 1 0.0228547
"1:36" "P02" 4952526 "Run2" 18 "25%" "0" 0 2 0 1 0.0213849
"1:37" "P02" 5052134 "Run3" 1 "0%" "0" 0 3 0 1 0.022273
"1:38" "P02" 5075726 "Run3" 2 "75%" "0" 0 19 0 1 0.0196569
"1:39" "P02" 5099654 "Run3" 3 "75%" "0" 0 7 0 1 0.0221018
"1:40" "P02" 5123382 "Run3" 4 "100%" "2" 1 0 27 1 0.0216822
"1:41" "P02" 5149022 "Run3" 5 "25%" "0" 0 3 0 1 0.020706
"1:42" "P02" 5173694 "Run3" 6 "100%" "1" 1 0 11 1 0.0208079
"1:43" "P02" 5199758 "Run3" 7 "0%" "0" 0 2 0 1 0.0234293
