"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:72" "P18" 2822170 "Run1" 18 "50%" "0" 0 57 0 1 0.0144687
"1:73" "P18" 2922066 "Run2" 1 "25%" "0" 0 43 0 1 0.0120645
"1:74" "P18" 2945562 "Run2" 2 "75%" "0" 0 57 0 1 0.0114746
"1:75" "P18" 2970474 "Run2" 3 "75%" "0" 0 47 0 1 0.0385334
"1:76" "P18" 2993546 "Run2" 4 "25%" "0" 0 48 0 1 0.046751
"1:77" "P18" 3020722 "Run2" 5 "0%" "0" 0 42 0 1 0.0283239
"1:78" "P18" 3044458 "Run2" 6 "0%" "0" 0 46 0 1 0.0525989
"1:79" "P18" 3069569 "Run2" 7 "100%" "1" 1 0 45 1 0.0624666
"1:80" "P18" 3094313 "Run2" 8 "0%" "0" 0 47 0 1 0.01366
"1:81" "P18" 3120833 "Run2" 9 "50%" "0" 0 57 0 1 0.0552295
"1:82" "P18" 3146778 "Run2" 10 "100%" "2" 1 0 52 1 0.0379367
"1:83" "P18" 3171649 "Run2" 11 "75%" "3" 1 0 59 1 0.0621374
"1:84" "P18" 3193762 "Run2" 12 "25%" "1" 1 0 47 1 0.0374071
"1:85" "P18" 3217337 "Run2" 13 "50%" "0" 0 46 0 1 0.0411243
"1:86" "P18" 3242737 "Run2" 14 "75%" "0" 0 63 0 1 0.0455771
"1:87" "P18" 3267233 "Run2" 15 "25%" "0" 0 47 0 1 0.0362293
"1:88" "P18" 3291753 "Run2" 16 "50%" "2" 1 0 58 1 0.0444211
"1:89" "P18" 3318537 "Run2" 17 "100%" "3" 1 0 71 1 0.0446134
"1:90" "P18" 3344753 "Run2" 18 "50%" "0" 0 71 0 1 0.0476759
"1:91" "P18" 3448617 "Run3" 1 "0%" "0" 0 47 0 1 0.0171989
"1:92" "P18" 3474753 "Run3" 2 "25%" "0" 0 54 0 1 0.0282119
"1:93" "P18" 3498657 "Run3" 3 "50%" "0" 0 44 0 1 0.0337682
"1:94" "P18" 3526049 "Run3" 4 "100%" "1" 1 0 46 1 0.0275098
"1:95" "P18" 3549281 "Run3" 5 "75%" "2" 1 0 57 1 0.057668
"1:96" "P18" 3574721 "Run3" 6 "75%" "0" 0 57 0 1 0.0339671
"1:97" "P18" 3600193 "Run3" 7 "25%" "0" 0 47 0 1 0.0331816
"1:98" "P18" 3627737 "Run3" 8 "0%" "0" 0 46 0 1 0.0378259
"1:99" "P18" 3654618 "Run3" 9 "75%" "0" 0 75 0 1 0.0426994
"1:100" "P18" 3678681 "Run3" 10 "50%" "1" 1 0 46 1 0.0400056
"1:101" "P18" 3702577 "Run3" 11 "75%" "0" 0 46 0 1 0.0390358
"1:102" "P18" 3726833 "Run3" 12 "50%" "0" 0 68 0 1 0.0353886
"1:103" "P18" 3755593 "Run3" 13 "0%" "0" 0 48 0 1 0.026309
"1:104" "P18" 3780833 "Run3" 14 "25%" "3" 1 0 76 1 0.0469437
"1:105" "P18" 3804985 "Run3" 15 "50%" "0" 0 60 0 1 0.0212529
"1:106" "P18" 3828337 "Run3" 16 "25%" "0" 0 47 0 1 0.0158316
"1:107" "P18" 3853281 "Run3" 17 "100%" "3" 1 0 69 1 0.0586006
"1:108" "P18" 3878689 "Run3" 18 "100%" "2" 1 0 55 1 0.0639037
"1:109" "P23" 1736975 "Run1" 1 "75%" "0" 0 9 0 1 0.031958
"1:110" "P23" 1765447 "Run1" 2 "100%" "1" 1 0 0 1 0.0610247
"1:111" "P23" 1792535 "Run1" 3 "25%" "0" 0 72 0 1 0.0469076
"1:112" "P23" 1820647 "Run1" 4 "25%" "2" 1 0 8 1 0.0599479
"1:113" "P23" 1845767 "Run1" 5 "75%" "0" 0 81 0 1 0.0464087
"1:114" "P23" 1869911 "Run1" 6 "25%" "0" 0 66 0 1 0.0427457
"1:115" "P23" 1895111 "Run1" 7 "50%" "0" 0 72 0 1 0.0379772
"1:116" "P23" 1923335 "Run1" 8 "75%" "1" 1 0 8 1 0.0498537
