"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P02" 4019983 "Run1" 1 "0%" "0" 0 2 0 1 0.0306378
"1:2" "P02" 4044719 "Run1" 2 "50%" "0" 0 17 0 1 0.0289078
"1:3" "P02" 4070032 "Run1" 3 "50%" "0" 0 6 0 1 0.0218131
"1:4" "P02" 4093439 "Run1" 4 "25%" "0" 0 9 0 1 0.0327306
"1:5" "P02" 4118743 "Run1" 5 "100%" "3" 1 0 41 1 0.0244864
"1:6" "P02" 4150479 "Run1" 6 "0%" "0" 0 9 0 1 0.0297779
"1:7" "P02" 4175575 "Run1" 7 "75%" "0" 0 36 0 1 0.0282089
"1:8" "P02" 4201623 "Run1" 8 "25%" "0" 0 20 0 1 0.0289703
"1:9" "P02" 4225455 "Run1" 9 "50%" "1" 1 0 25 1 0.0294563
"1:10" "P02" 4249447 "Run1" 10 "100%" "1" 1 0 27 1 0.0370567
"1:11" "P02" 4274983 "Run1" 11 "0%" "0" 0 58 0 1 0.0291317
"1:12" "P02" 4299839 "Run1" 12 "25%" "0" 0 33 0 1 0.0261004
"1:13" "P02" 4327968 "Run1" 13 "75%" "2" 1 0 38 1 0.0350376
"1:14" "P02" 4352279 "Run1" 14 "100%" "2" 1 0 35 1 0.0328112
"1:15" "P02" 4377055 "Run1" 15 "50%" "0" 0 59 0 1 0.0279127
"1:16" "P02" 4402015 "Run1" 16 "75%" "0" 0 59 0 1 0.0368458
"1:17" "P02" 4422903 "Run1" 17 "75%" "0" 0 57 0 1 0.0346598
"1:18" "P02" 4450543 "Run1" 18 "25%" "3" 1 0 39 1 0.0377328
"1:19" "P02" 4549502 "Run2" 1 "100%" "1" 1 0 16 1 0.0332136
"1:20" "P02" 4574150 "Run2" 2 "50%" "3" 1 0 58 1 0.0292002
"1:21" "P02" 4601382 "Run2" 3 "50%" "0" 0 48 0 1 0.0172548
"1:22" "P02" 4625846 "Run2" 4 "75%" "0" 0 7 0 1 0.0269573
"1:23" "P02" 4650775 "Run2" 5 "25%" "0" 0 8 0 1 0.023757
"1:24" "P02" 4672887 "Run2" 6 "50%" "0" 0 55 0 1 0.0308896
"1:25" "P02" 4696358 "Run2" 7 "50%" "0" 0 10 0 1 0.0263126
"1:26" "P02" 4719918 "Run2" 8 "100%" "2" 1 0 32 1 0.0268645
"1:27" "P02" 4741518 "Run2" 9 "100%" "3" 1 0 60 1 0.0293029
"1:28" "P02" 4766234 "Run2" 10 "75%" "1" 1 0 12 1 0.0301233
"1:29" "P02" 4788862 "Run2" 11 "25%" "0" 0 36 0 1 0.0271645
"1:30" "P02" 4810430 "Run2" 12 "75%" "0" 0 44 0 1 0.0233367
"1:31" "P02" 4833518 "Run2" 13 "0%" "0" 0 0 0 1 0.0180636
"1:32" "P02" 4857814 "Run2" 14 "0%" "0" 0 2 0 1 0.0209357
"1:33" "P02" 4881174 "Run2" 15 "25%" "2" 1 0 37 1 0.0278597
"1:34" "P02" 4905278 "Run2" 16 "0%" "0" 0 3 0 1 0.0219324
"1:35" "P02" 4926494 "Run2" 17 "75%" "0" 0 58 0 1 0.0221297
"1:36" "P02" 4952526 "Run2" 18 "25%" "0" 0 2 0 1 0.0182383
"1:37" "P02" 5052134 "Run3" 1 "0%" "0" 0 3 0 1 0.026053
"1:38" "P02" 5075726 "Run3" 2 "75%" "0" 0 19 0 1 0.0170384
"1:39" "P02" 5099654 "Run3" 3 "75%" "0" 0 7 0 1 0.0217305
"1:40" "P02" 5123382 "Run3" 4 "100%" "2" 1 0 27 1 0.0227988
"1:41" "P02" 5149022 "Run3" 5 "25%" "0" 0 3 0 1 0.0212542
"1:42" "P02" 5173694 "Run3" 6 "100%" "1" 1 0 11 1 0.0174431
"1:43" "P02" 5199758 "Run3" 7 "0%" "0" 0 2 0 1 0.0302283
"1:44" "P02" 5225798 "Run3" 8 "50%" "0" 0 4 0 1 0.0252401
"1:45" "P02" 5248606 "Run3" 9 "50%" "2" 1 0 24 1 0.0341036
"1:46" "P02" 5277190 "Run3" 10 "100%" "3" 1 0 57 1 0.0346396
"1:47" "P02" 5298335 "Run3" 11 "75%" "3" 1 0 55 1 0.0303225
"1:48" "P02" 5322846 "Run3" 12 "25%" "1" 1 0 6 1 0.0289964
"1:49" "P02" 5345526 "Run3" 13 "25%" "0" 0 57 0 1 0.0289331
"1:50" "P02" 5368894 "Run3" 14 "50%" "0" 0 18 0 1 0.0366231
