"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P01" 3069044 "Run1" 1 "25%" "0" 0 21 0 1 0.0157592
"1:2" "P01" 3101316 "Run1" 2 "75%" "1" 1 0 0 1 0.140581
"1:3" "P01" 3130716 "Run1" 3 "25%" "0" 0 12 0 1 0.0144713
"1:4" "P01" 3157844 "Run1" 4 "25%" "0" 0 19 0 1 0.00987884
"1:5" "P01" 3186244 "Run1" 5 "75%" "0" 0 54 0 1 0.0100314
"1:6" "P01" 3214116 "Run1" 6 "50%" "0" 0 15 0 1 0.0157537
"1:7" "P01" 3242412 "Run1" 7 "50%" "3" 1 0 72 1 0.152668
"1:8" "P01" 3271484 "Run1" 8 "0%" "0" 0 72 0 1 0.0137277
"1:9" "P01" 3297900 "Run1" 9 "0%" "0" 0 45 0 1 0.015578
"1:10" "P01" 3330196 "Run1" 10 "100%" "2" 1 0 41 1 0.135821
"1:11" "P01" 3356724 "Run1" 11 "50%" "0" 0 62 0 1 0.0102522
"1:12" "P01" 3383700 "Run1" 12 "100%" "1" 1 0 0 1 0.163061
"1:13" "P01" 3412492 "Run1" 13 "0%" "0" 0 40 0 1 0.0123314
"1:14" "P01" 3440420 "Run1" 14 "50%" "0" 0 82 0 1 0.0136465
"1:15" "P01" 3466396 "Run1" 15 "75%" "0" 0 87 0 1 0.0127433
"1:16" "P01" 3492340 "Run1" 16 "100%" "3" 1 0 81 1 0.12759
"1:17" "P01" 3515564 "Run1" 17 "75%" "0" 0 55 0 1 0.0134913
"1:18" "P01" 3540380 "Run1" 18 "25%" "2" 1 0 75 1 0.15679
"1:19" "P01" 3639844 "Run2" 1 "75%" "2" 1 0 63 1 0.187959
"1:20" "P01" 3665460 "Run2" 2 "25%" "0" 0 86 0 1 0.0129244
"1:21" "P01" 3686956 "Run2" 3 "25%" "0" 0 56 0 1 0.0107441
"1:22" "P01" 3710036 "Run2" 4 "50%" "0" 0 56 0 1 0.0101821
