"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P01" 3069044 "Run1" 1 "25%" "0" 0 21 0 1 0.0161228
"1:2" "P01" 3101316 "Run1" 2 "75%" "1" 1 0 0 1 0.089433
"1:3" "P01" 3130716 "Run1" 3 "25%" "0" 0 12 0 1 0.0151424
"1:4" "P01" 3157844 "Run1" 4 "25%" "0" 0 19 0 1 0.0115261
"1:5" "P01" 3186244 "Run1" 5 "75%" "0" 0 54 0 1 0.0114738
"1:6" "P01" 3214116 "Run1" 6 "50%" "0" 0 15 0 1 0.0144121
"1:7" "P01" 3242412 "Run1" 7 "50%" "3" 1 0 72 1 0.101206
"1:8" "P01" 3271484 "Run1" 8 "0%" "0" 0 72 0 1 0.0138652
"1:9" "P01" 3297900 "Run1" 9 "0%" "0" 0 45 0 1 0.0150022
"1:10" "P01" 3330196 "Run1" 10 "100%" "2" 1 0 41 1 0.100591
"1:11" "P01" 3356724 "Run1" 11 "50%" "0" 0 62 0 1 0.010339
"1:12" "P01" 3383700 "Run1" 12 "100%" "1" 1 0 0 1 0.103854
"1:13" "P01" 3412492 "Run1" 13 "0%" "0" 0 40 0 1 0.0121686
"1:14" "P01" 3440420 "Run1" 14 "50%" "0" 0 82 0 1 0.0138269
"1:15" "P01" 3466396 "Run1" 15 "75%" "0" 0 87 0 1 0.0124077
"1:16" "P01" 3492340 "Run1" 16 "100%" "3" 1 0 81 1 0.104369
"1:17" "P01" 3515564 "Run1" 17 "75%" "0" 0 55 0 1 0.0113293
"1:18" "P01" 3540380 "Run1" 18 "25%" "2" 1 0 75 1 0.103432
"1:19" "P01" 3639844 "Run2" 1 "75%" "2" 1 0 63 1 0.131884
"1:20" "P01" 3665460 "Run2" 2 "25%" "0" 0 86 0 1 0.0129403
"1:21" "P01" 3686956 "Run2" 3 "25%" "0" 0 56 0 1 0.0114891
"1:22" "P01" 3710036 "Run2" 4 "50%" "0" 0 56 0 1 0.0119075
"1:23" "P01" 3735388 "Run2" 5 "50%" "0" 0 81 0 1 0.0180773
"1:24" "P01" 3761108 "Run2" 6 "0%" "0" 0 90 0 1 0.0101225
"1:25" "P01" 3785140 "Run2" 7 "50%" "1" 1 0 19 1 0.105397
"1:26" "P01" 3812516 "Run2" 8 "0%" "0" 0 84 0 1 0.011644
"1:27" "P01" 3837764 "Run2" 9 "75%" "0" 0 88 0 1 0.0137432
"1:28" "P01" 3860892 "Run2" 10 "0%" "0" 0 86 0 1 0.0102725
"1:29" "P01" 3883100 "Run2" 11 "100%" "2" 1 0 64 1 0.112401
"1:30" "P01" 3912316 "Run2" 12 "75%" "0" 0 97 0 1 0.0124643
"1:31" "P01" 3935708 "Run2" 13 "75%" "0" 0 24 0 1 0.012458
"1:32" "P01" 3961860 "Run2" 14 "50%" "0" 0 89 0 1 0.0120226
"1:33" "P01" 3987788 "Run2" 15 "25%" "3" 1 0 99 1 0.117303
